series_key,customer_group,reason_code_group,feature,importance_rank,importance_value,short_note
555|Routine,UNKNOWN,Routine,BUDGET_TARGET,1,0.8131412087107794,Budget target highly predictive - add interaction terms
555|Routine,UNKNOWN,Routine,ROLL_STD_12,2,0.5471832678760641,
555|Routine,UNKNOWN,Routine,LAG_2,3,0.5335019986419837,
555|Routine,UNKNOWN,Routine,RECENT_TREND,4,0.5166121242633989,
555|Routine,UNKNOWN,Routine,FISCAL_MONTH_COS,5,0.47356046217997644,
555|Routine,UNKNOWN,Routine,ROLL_MEAN_3,6,0.330295962284548,
555|Routine,TRANS,Routine,BUDGET_TARGET,1,0.8131412087107794,Budget target highly predictive - add interaction terms
555|Routine,TRANS,Routine,ROLL_STD_12,2,0.5471832678760641,
555|Routine,TRANS,Routine,LAG_2,3,0.5335019986419837,
555|Routine,TRANS,Routine,RECENT_TREND,4,0.5166121242633989,
555|Routine,TRANS,Routine,FISCAL_MONTH_COS,5,0.47356046217997644,
555|Routine,TRANS,Routine,ROLL_MEAN_3,6,0.330295962284548,
555|Routine,CAPX,Routine,BUDGET_TARGET,1,0.8131412087107794,Budget target highly predictive - add interaction terms
555|Routine,CAPX,Routine,ROLL_STD_12,2,0.5471832678760641,
555|Routine,CAPX,Routine,LAG_2,3,0.5335019986419837,
555|Routine,CAPX,Routine,RECENT_TREND,4,0.5166121242633989,
555|Routine,CAPX,Routine,FISCAL_MONTH_COS,5,0.47356046217997644,
555|Routine,CAPX,Routine,ROLL_MEAN_3,6,0.330295962284548,
555|Routine,EXT,Routine,BUDGET_TARGET,1,0.8131412087107794,Budget target highly predictive - add interaction terms
555|Routine,EXT,Routine,ROLL_STD_12,2,0.5471832678760641,
555|Routine,EXT,Routine,LAG_2,3,0.5335019986419837,
555|Routine,EXT,Routine,RECENT_TREND,4,0.5166121242633989,
555|Routine,EXT,Routine,FISCAL_MONTH_COS,5,0.47356046217997644,
555|Routine,EXT,Routine,ROLL_MEAN_3,6,0.330295962284548,
555|Routine,CCCI,Routine,BUDGET_TARGET,1,0.8131412087107794,Budget target highly predictive - add interaction terms
555|Routine,CCCI,Routine,ROLL_STD_12,2,0.5471832678760641,
555|Routine,CCCI,Routine,LAG_2,3,0.5335019986419837,
555|Routine,CCCI,Routine,RECENT_TREND,4,0.5166121242633989,
555|Routine,CCCI,Routine,FISCAL_MONTH_COS,5,0.47356046217997644,
555|Routine,CCCI,Routine,ROLL_MEAN_3,6,0.330295962284548,
715|Routine,UNKNOWN,Routine,RECENT_TREND,1,0.7474754347374879,Trend mis-specification - add polynomial or spline
715|Routine,UNKNOWN,Routine,ROLL_MEAN_12,2,0.6957693368416574,
715|Routine,UNKNOWN,Routine,FISCAL_MONTH_SIN,3,0.43277371601847286,
715|Routine,UNKNOWN,Routine,BUDGET_TARGET,4,0.39546870470596923,
715|Routine,UNKNOWN,Routine,LAG_2,5,0.3714723249051751,
715|Routine,UNKNOWN,Routine,YOY_PCT_12,6,0.34753244998714866,
715|Routine,CCCI,Routine,RECENT_TREND,1,0.7474754347374879,Trend mis-specification - add polynomial or spline
715|Routine,CCCI,Routine,ROLL_MEAN_12,2,0.6957693368416574,
715|Routine,CCCI,Routine,FISCAL_MONTH_SIN,3,0.43277371601847286,
715|Routine,CCCI,Routine,BUDGET_TARGET,4,0.39546870470596923,
715|Routine,CCCI,Routine,LAG_2,5,0.3714723249051751,
715|Routine,CCCI,Routine,YOY_PCT_12,6,0.34753244998714866,
715|Routine,EXT,Routine,RECENT_TREND,1,0.7474754347374879,Trend mis-specification - add polynomial or spline
715|Routine,EXT,Routine,ROLL_MEAN_12,2,0.6957693368416574,
715|Routine,EXT,Routine,FISCAL_MONTH_SIN,3,0.43277371601847286,
715|Routine,EXT,Routine,BUDGET_TARGET,4,0.39546870470596923,
715|Routine,EXT,Routine,LAG_2,5,0.3714723249051751,
715|Routine,EXT,Routine,YOY_PCT_12,6,0.34753244998714866,
715|Routine,TRANS,Routine,RECENT_TREND,1,0.7474754347374879,Trend mis-specification - add polynomial or spline
715|Routine,TRANS,Routine,ROLL_MEAN_12,2,0.6957693368416574,
715|Routine,TRANS,Routine,FISCAL_MONTH_SIN,3,0.43277371601847286,
715|Routine,TRANS,Routine,BUDGET_TARGET,4,0.39546870470596923,
715|Routine,TRANS,Routine,LAG_2,5,0.3714723249051751,
715|Routine,TRANS,Routine,YOY_PCT_12,6,0.34753244998714866,
715|Routine,CAPX,Routine,RECENT_TREND,1,0.7474754347374879,Trend mis-specification - add polynomial or spline
715|Routine,CAPX,Routine,ROLL_MEAN_12,2,0.6957693368416574,
715|Routine,CAPX,Routine,FISCAL_MONTH_SIN,3,0.43277371601847286,
715|Routine,CAPX,Routine,BUDGET_TARGET,4,0.39546870470596923,
715|Routine,CAPX,Routine,LAG_2,5,0.3714723249051751,
715|Routine,CAPX,Routine,YOY_PCT_12,6,0.34753244998714866,
695|Routine,UNKNOWN,Routine,RECENT_TREND,1,0.845148369624856,Trend mis-specification - add polynomial or spline
695|Routine,UNKNOWN,Routine,BUDGET_TARGET,2,0.6507807379051196,
695|Routine,UNKNOWN,Routine,LAG_2,3,0.6024697023545641,
695|Routine,UNKNOWN,Routine,ROLL_MEAN_12,4,0.4175825520240039,
695|Routine,UNKNOWN,Routine,ROLL_MEAN_6,5,0.38311005408129756,
695|Routine,UNKNOWN,Routine,LAG_3,6,0.35005819047899744,
695|Routine,EXT,Routine,RECENT_TREND,1,0.845148369624856,Trend mis-specification - add polynomial or spline
695|Routine,EXT,Routine,BUDGET_TARGET,2,0.6507807379051196,
695|Routine,EXT,Routine,LAG_2,3,0.6024697023545641,
695|Routine,EXT,Routine,ROLL_MEAN_12,4,0.4175825520240039,
695|Routine,EXT,Routine,ROLL_MEAN_6,5,0.38311005408129756,
695|Routine,EXT,Routine,LAG_3,6,0.35005819047899744,
695|Routine,CAPX,Routine,RECENT_TREND,1,0.845148369624856,Trend mis-specification - add polynomial or spline
695|Routine,CAPX,Routine,BUDGET_TARGET,2,0.6507807379051196,
695|Routine,CAPX,Routine,LAG_2,3,0.6024697023545641,
695|Routine,CAPX,Routine,ROLL_MEAN_12,4,0.4175825520240039,
695|Routine,CAPX,Routine,ROLL_MEAN_6,5,0.38311005408129756,
695|Routine,CAPX,Routine,LAG_3,6,0.35005819047899744,
695|Routine,CCCI,Routine,RECENT_TREND,1,0.845148369624856,Trend mis-specification - add polynomial or spline
695|Routine,CCCI,Routine,BUDGET_TARGET,2,0.6507807379051196,
695|Routine,CCCI,Routine,LAG_2,3,0.6024697023545641,
695|Routine,CCCI,Routine,ROLL_MEAN_12,4,0.4175825520240039,
695|Routine,CCCI,Routine,ROLL_MEAN_6,5,0.38311005408129756,
695|Routine,CCCI,Routine,LAG_3,6,0.35005819047899744,
695|Routine,TRANS,Routine,RECENT_TREND,1,0.845148369624856,Trend mis-specification - add polynomial or spline
695|Routine,TRANS,Routine,BUDGET_TARGET,2,0.6507807379051196,
695|Routine,TRANS,Routine,LAG_2,3,0.6024697023545641,
695|Routine,TRANS,Routine,ROLL_MEAN_12,4,0.4175825520240039,
695|Routine,TRANS,Routine,ROLL_MEAN_6,5,0.38311005408129756,
695|Routine,TRANS,Routine,LAG_3,6,0.35005819047899744,
