month,forecast_champion,forecast_pc715_tuned (what-if),lower80,upper80,budget,fy2025_actual,diff_vs_budget,pct_of_budget,forecast_notes
2025-01,6861341.6,,6838310.205999999,6870832.714,,5879999.09,,,
2025-02,6916203.9799999995,,6893172.585999999,6925695.094,,7815846.58,,,
2025-03,7503909.65,,7480878.256,7513400.764,,9633686.52,,,
2025-04,6961999.47,,6938968.075999999,6971490.584,,7323214.66,,,
2025-05,7144455.9799999995,,7121424.585999999,7153947.094,,6939898.45,,,
2025-06,7634224.37,,7611192.976,7643715.484,,8928951.370000001,,,
2025-07,6753107.53,,6730076.136,6762598.644,,7597703.08,,,
2025-08,6768673.87,,6745642.476,6778164.984,,8030861.7700000005,,,
2025-09,7450626.65,,7427595.256,7460117.764,,9768945.13,,,
2025-10,6683637.07,,6660605.676,6693128.184,,8274077.41,,,
2025-11,6858854.149999999,,6835822.755999999,6868345.2639999995,,7993976.59,,,
2025-12,7455097.87,,7432066.476,7464588.984,,9697821.78,,,
